yis|yas|yus|yes	yes
ur|yr	your
Hiya{!}|Heya{!}|Hellooo{!}|Like, Hi{!}	hi	hello
luv you, byeeee{!}|byeeee{!}	goodbye	cya	bye
hella|lotta	a lot of	lot of	lots of
coool|kewl	cool
cooolest|kewlest	coolest
totes|tots|totz|totally	wholly	entirely	completly	completely	totaly	totally	absolutly	absolutly	greatly
booty|bum|ass|butt	butt	ass
fuckhole|pussy|butthole	anus
boobz|titties|boobs|honkers|boobies|bewbz|knockers|jugs|udders	breasts
suckhole|mouth	mouth
